user_name,email,account_type,gender,bio,password,joining_date,postal_code,
Graham Page,sit.amet@hotmail.com,'customer','female',Etiam vestibulum,orci.,2/26/2021,8210-4234,"(""Graham Page"", ""sit.amet@hotmail.com"", 'customer', 'female', ""Etiam vestibulum"", ""orci."", ""2021-02-26""),"
Nehru Mckenzie,eu@google.org,'artist','male',molestie tortor,Fusce,8/29/2021,25363,"(""Nehru Mckenzie"", ""eu@google.org"", 'artist', 'male', ""molestie tortor"", ""Fusce"", ""2021-08-29""),"
Emi Greer,est.vitae@google.net,'artist','male',Nunc sed orci lobortis,Cras,9/4/2021,75B 7W8,"(""Emi Greer"", ""est.vitae@google.net"", 'artist', 'male', ""Nunc sed orci lobortis"", ""Cras"", ""2021-09-04""),"
Rowan Mack,ornare.in@protonmail.couk,'customer','female',"a ultricies adipiscing,",eu,10/3/2022,30-557,"(""Rowan Mack"", ""ornare.in@protonmail.couk"", 'customer', 'female', ""a ultricies adipiscing,"", ""eu"", ""2022-10-03""),"
Rana Johns,aliquet.odio@hotmail.ca,'customer','female',"at, nisi. Cum",nisi,6/18/2021,45237,"(""Rana Johns"", ""aliquet.odio@hotmail.ca"", 'customer', 'female', ""at, nisi. Cum"", ""nisi"", ""2021-06-18""),"
Orlando Coffey,sit@yahoo.ca,'artist','male',accumsan interdum libero dui,"non,",7/28/2022,67559-53079,"(""Orlando Coffey"", ""sit@yahoo.ca"", 'artist', 'male', ""accumsan interdum libero dui"", ""non,"", ""2022-07-28""),"
Sigourney Kline,lacus.pede@hotmail.couk,'artist','male',eget lacus. Mauris non dui,risus.,10/17/2022,3270,"(""Sigourney Kline"", ""lacus.pede@hotmail.couk"", 'artist', 'male', ""eget lacus. Mauris non dui"", ""risus."", ""2022-10-17""),"
Kennedy Cole,gravida.non.sollicitudin@yahoo.ca,'customer','female',Vestibulum ut eros non,mauris,7/7/2022,86924,"(""Kennedy Cole"", ""gravida.non.sollicitudin@yahoo.ca"", 'customer', 'female', ""Vestibulum ut eros non"", ""mauris"", ""2022-07-07""),"
Moses Guerrero,ante.dictum@protonmail.com,'customer','female',sodales.,"eget,",6/20/2021,859229,"(""Moses Guerrero"", ""ante.dictum@protonmail.com"", 'customer', 'female', ""sodales."", ""eget,"", ""2021-06-20""),"
Maris Wolfe,magna.a.neque@outlook.ca,'artist','male',nibh sit,libero,5/20/2021,3188,"(""Maris Wolfe"", ""magna.a.neque@outlook.ca"", 'artist', 'male', ""nibh sit"", ""libero"", ""2021-05-20""),"
Nita Nichols,semper@outlook.edu,'artist','male',amet ante.,porttitor,6/9/2022,483856,"(""Nita Nichols"", ""semper@outlook.edu"", 'artist', 'male', ""amet ante."", ""porttitor"", ""2022-06-09""),"
Hedwig Bailey,dolor@aol.net,'customer','female',eget mollis,Duis,12/9/2021,6967-1229,"(""Hedwig Bailey"", ""dolor@aol.net"", 'customer', 'female', ""eget mollis"", ""Duis"", ""2021-12-09""),"
Denise Acosta,integer@protonmail.edu,'customer','female',at augue id,non,3/27/2022,7033,"(""Denise Acosta"", ""integer@protonmail.edu"", 'customer', 'female', ""at augue id"", ""non"", ""2022-03-27""),"
Wynne Shaw,ornare.placerat.orci@hotmail.couk,'artist','male',egestas,dis,4/26/2022,12725,"(""Wynne Shaw"", ""ornare.placerat.orci@hotmail.couk"", 'artist', 'male', ""egestas"", ""dis"", ""2022-04-26""),"
Vaughan Webster,leo@hotmail.edu,'artist','male',blandit enim consequat purus. Maecenas,sem,6/18/2022,303425,"(""Vaughan Webster"", ""leo@hotmail.edu"", 'artist', 'male', ""blandit enim consequat purus. Maecenas"", ""sem"", ""2022-06-18""),"
Gloria Strong,congue.a@google.couk,'customer','female',orci,dolor,1/7/2021,14666-52950,"(""Gloria Strong"", ""congue.a@google.couk"", 'customer', 'female', ""orci"", ""dolor"", ""2021-01-07""),"
Jamal Walters,integer@hotmail.edu,'customer','female',leo.,fermentum,1/2/2021,25624,"(""Jamal Walters"", ""integer@hotmail.edu"", 'customer', 'female', ""leo."", ""fermentum"", ""2021-01-02""),"
Yoshio Lynn,eget.tincidunt@outlook.net,'artist','male',"tincidunt, nunc",enim.,12/27/2021,1776,"(""Yoshio Lynn"", ""eget.tincidunt@outlook.net"", 'artist', 'male', ""tincidunt, nunc"", ""enim."", ""2021-12-27""),"
Candace George,habitant@icloud.ca,'artist','male',egestas nunc sed,Nulla,9/11/2021,11953-43186,"(""Candace George"", ""habitant@icloud.ca"", 'artist', 'male', ""egestas nunc sed"", ""Nulla"", ""2021-09-11""),"
Macey Simmons,quam.pellentesque@icloud.net,'customer','female',"auctor quis,","dui,",3/8/2022,65-33,"(""Macey Simmons"", ""quam.pellentesque@icloud.net"", 'customer', 'female', ""auctor quis,"", ""dui,"", ""2022-03-08""),"
MacKensie Shaw,erat.neque.non@outlook.org,'customer','female',"ornare, libero at auctor ullamcorper,",velit,10/9/2022,58396,"(""MacKensie Shaw"", ""erat.neque.non@outlook.org"", 'customer', 'female', ""ornare, libero at auctor ullamcorper,"", ""velit"", ""2022-10-09""),"
Nasim Clay,natoque@outlook.org,'artist','male',"a, auctor",luctus,6/5/2021,516804,"(""Nasim Clay"", ""natoque@outlook.org"", 'artist', 'male', ""a, auctor"", ""luctus"", ""2021-06-05""),"
Adrienne Sims,ac.mattis@outlook.edu,'artist','male',fermentum fermentum,Fusce,2/12/2022,463828,"(""Adrienne Sims"", ""ac.mattis@outlook.edu"", 'artist', 'male', ""fermentum fermentum"", ""Fusce"", ""2022-02-12""),"
Kasper Barnett,neque.sed.eget@icloud.edu,'customer','female',"ac, feugiat non, lobortis",nisi.,12/28/2022,465734,"(""Kasper Barnett"", ""neque.sed.eget@icloud.edu"", 'customer', 'female', ""ac, feugiat non, lobortis"", ""nisi."", ""2022-12-28""),"
Alvin Chase,augue@icloud.org,'customer','female',nisi dictum augue malesuada,"eget,",9/17/2022,30807,"(""Alvin Chase"", ""augue@icloud.org"", 'customer', 'female', ""nisi dictum augue malesuada"", ""eget,"", ""2022-09-17""),"
Chase Mejia,interdum.nunc@protonmail.ca,'artist','male',Vivamus nibh,dui.,1/22/2022,33066,"(""Chase Mejia"", ""interdum.nunc@protonmail.ca"", 'artist', 'male', ""Vivamus nibh"", ""dui."", ""2022-01-22""),"
Paula Conley,nunc.mauris@icloud.net,'artist','male',Morbi,Donec,2/2/2021,33467,"(""Paula Conley"", ""nunc.mauris@icloud.net"", 'artist', 'male', ""Morbi"", ""Donec"", ""2021-02-02""),"
Olympia Vasquez,suspendisse.aliquet@protonmail.edu,'customer','female',Lorem ipsum,natoque,12/28/2021,62379-430,"(""Olympia Vasquez"", ""suspendisse.aliquet@protonmail.edu"", 'customer', 'female', ""Lorem ipsum"", ""natoque"", ""2021-12-28""),"
Colby Russell,pellentesque@aol.ca,'customer','female',ac libero nec ligula consectetuer,pede,3/18/2022,626913,"(""Colby Russell"", ""pellentesque@aol.ca"", 'customer', 'female', ""ac libero nec ligula consectetuer"", ""pede"", ""2022-03-18""),"
Patricia Mcclure,amet.risus@protonmail.com,'artist','male',"semper erat, in consectetuer","est,",1/12/2021,3453,"(""Patricia Mcclure"", ""amet.risus@protonmail.com"", 'artist', 'male', ""semper erat, in consectetuer"", ""est,"", ""2021-01-12""),"
MacKenzie Joyce,mus.donec@outlook.org,'artist','male',"mollis vitae,",Nullam,9/16/2022,7856,"(""MacKenzie Joyce"", ""mus.donec@outlook.org"", 'artist', 'male', ""mollis vitae,"", ""Nullam"", ""2022-09-16""),"
Germane Dudley,fringilla@google.com,'customer','female',adipiscing,quis,12/19/2021,6123,"(""Germane Dudley"", ""fringilla@google.com"", 'customer', 'female', ""adipiscing"", ""quis"", ""2021-12-19""),"
Berk Merrill,duis@yahoo.org,'customer','female',urna et arcu imperdiet,congue,1/2/2022,45753,"(""Berk Merrill"", ""duis@yahoo.org"", 'customer', 'female', ""urna et arcu imperdiet"", ""congue"", ""2022-01-02""),"
Teegan Garner,donec.est.mauris@yahoo.couk,'artist','male',"a, magna.",convallis,8/6/2022,559258,"(""Teegan Garner"", ""donec.est.mauris@yahoo.couk"", 'artist', 'male', ""a, magna."", ""convallis"", ""2022-08-06""),"
Jerry Chambers,metus.urna@google.net,'artist','male',Aenean,Praesent,1/28/2021,70785,"(""Jerry Chambers"", ""metus.urna@google.net"", 'artist', 'male', ""Aenean"", ""Praesent"", ""2021-01-28""),"
Russell Garner,vel@outlook.couk,'customer','female',velit in aliquet,Sed,8/19/2022,55712,"(""Russell Garner"", ""vel@outlook.couk"", 'customer', 'female', ""velit in aliquet"", ""Sed"", ""2022-08-19""),"
Madison Lancaster,ut.nisi.a@hotmail.org,'customer','female',"lacus. Nulla tincidunt, neque",ad,10/5/2022,0352-6085,"(""Madison Lancaster"", ""ut.nisi.a@hotmail.org"", 'customer', 'female', ""lacus. Nulla tincidunt, neque"", ""ad"", ""2022-10-05""),"
Yoshio Byers,dolor.quisque@yahoo.edu,'artist','male',tristique pharetra. Quisque ac,faucibus,5/8/2021,41517,"(""Yoshio Byers"", ""dolor.quisque@yahoo.edu"", 'artist', 'male', ""tristique pharetra. Quisque ac"", ""faucibus"", ""2021-05-08""),"
Joseph Tanner,mauris.molestie@aol.org,'artist','male',"orci quis lectus. Nullam suscipit,",luctus,2/16/2021,65466-777,"(""Joseph Tanner"", ""mauris.molestie@aol.org"", 'artist', 'male', ""orci quis lectus. Nullam suscipit,"", ""luctus"", ""2021-02-16""),"
Audra Russo,hendrerit.donec@aol.edu,'customer','female',"facilisis, magna",Sed,2/2/2021,C0P 6GU,"(""Audra Russo"", ""hendrerit.donec@aol.edu"", 'customer', 'female', ""facilisis, magna"", ""Sed"", ""2021-02-02""),"
Cassidy Adkins,aliquet.odio@aol.ca,'customer','female',Nunc sed,non,9/10/2022,678488,"(""Cassidy Adkins"", ""aliquet.odio@aol.ca"", 'customer', 'female', ""Nunc sed"", ""non"", ""2022-09-10""),"
Lane Mcmillan,placerat.eget@aol.com,'artist','male',urna. Vivamus molestie,mus.,1/31/2021,6547 DF,"(""Lane Mcmillan"", ""placerat.eget@aol.com"", 'artist', 'male', ""urna. Vivamus molestie"", ""mus."", ""2021-01-31""),"
Aurora Haney,donec.at.arcu@yahoo.edu,'artist','male',Sed eu,"magna,",12/12/2020,786714,"(""Aurora Haney"", ""donec.at.arcu@yahoo.edu"", 'artist', 'male', ""Sed eu"", ""magna,"", ""2020-12-12""),"
Hope Savage,vulputate.nisi@aol.edu,'customer','female',"facilisis non, bibendum",Mauris,3/14/2021,682419,"(""Hope Savage"", ""vulputate.nisi@aol.edu"", 'customer', 'female', ""facilisis non, bibendum"", ""Mauris"", ""2021-03-14""),"
Odysseus Wise,tellus.faucibus@google.ca,'customer','female',dictum sapien. Aenean,Mauris,8/11/2021,43-74,"(""Odysseus Wise"", ""tellus.faucibus@google.ca"", 'customer', 'female', ""dictum sapien. Aenean"", ""Mauris"", ""2021-08-11""),"
Grady Crawford,sed.est@icloud.ca,'artist','male',mauris,cursus,6/27/2021,6157-3874,"(""Grady Crawford"", ""sed.est@icloud.ca"", 'artist', 'male', ""mauris"", ""cursus"", ""2021-06-27""),"
Allistair Mcpherson,pede.ultrices@outlook.com,'artist','male',"nibh enim, gravida sit","auctor,",5/18/2021,643207,"(""Allistair Mcpherson"", ""pede.ultrices@outlook.com"", 'artist', 'male', ""nibh enim, gravida sit"", ""auctor,"", ""2021-05-18""),"
Amela Mason,etiam.imperdiet@google.org,'customer','female',in lobortis tellus justo,"lorem,",10/25/2021,3062,"(""Amela Mason"", ""etiam.imperdiet@google.org"", 'customer', 'female', ""in lobortis tellus justo"", ""lorem,"", ""2021-10-25""),"
Geoffrey Jennings,interdum@yahoo.org,'customer','female',scelerisque neque sed sem,sociis,9/9/2022,5725,"(""Geoffrey Jennings"", ""interdum@yahoo.org"", 'customer', 'female', ""scelerisque neque sed sem"", ""sociis"", ""2022-09-09""),"
Leo Petersen,sapien.aenean@aol.couk,'artist','male',"amet,",ipsum.,1/24/2022,591413,"(""Leo Petersen"", ""sapien.aenean@aol.couk"", 'artist', 'male', ""amet,"", ""ipsum."", ""2022-01-24""),"
Guy Hewitt,a.ultricies@aol.org,'artist','male',Ut tincidunt orci quis,lacinia.,12/6/2021,1057-2265,"(""Guy Hewitt"", ""a.ultricies@aol.org"", 'artist', 'male', ""Ut tincidunt orci quis"", ""lacinia."", ""2021-12-06""),"
Nash Tyler,vel.lectus.cum@yahoo.org,'customer','female',"lacinia orci, consectetuer euismod est",mollis,5/31/2021,906242,"(""Nash Tyler"", ""vel.lectus.cum@yahoo.org"", 'customer', 'female', ""lacinia orci, consectetuer euismod est"", ""mollis"", ""2021-05-31""),"
Jenna Everett,non.egestas.a@hotmail.org,'customer','female',lacus. Etiam bibendum,bibendum,11/6/2022,58964-944,"(""Jenna Everett"", ""non.egestas.a@hotmail.org"", 'customer', 'female', ""lacus. Etiam bibendum"", ""bibendum"", ""2022-11-06""),"
Ryder Bowman,sem.ut@icloud.ca,'artist','male',tincidunt,porttitor,3/22/2021,610214,"(""Ryder Bowman"", ""sem.ut@icloud.ca"", 'artist', 'male', ""tincidunt"", ""porttitor"", ""2021-03-22""),"
Elijah Henson,nec.enim.nunc@protonmail.org,'artist','male',tortor. Nunc commodo auctor,purus,3/30/2022,35582,"(""Elijah Henson"", ""nec.enim.nunc@protonmail.org"", 'artist', 'male', ""tortor. Nunc commodo auctor"", ""purus"", ""2022-03-30""),"
Yoko Carlson,donec@protonmail.ca,'customer','female',ullamcorper viverra.,sed,1/3/2021,251484,"(""Yoko Carlson"", ""donec@protonmail.ca"", 'customer', 'female', ""ullamcorper viverra."", ""sed"", ""2021-01-03""),"
Tucker Winters,nec.leo@protonmail.com,'customer','female',tincidunt orci quis,a,7/12/2021,354748,"(""Tucker Winters"", ""nec.leo@protonmail.com"", 'customer', 'female', ""tincidunt orci quis"", ""a"", ""2021-07-12""),"
Chloe Sanchez,vulputate@hotmail.edu,'artist','male',"nulla magna, malesuada","vel,",5/15/2021,7759,"(""Chloe Sanchez"", ""vulputate@hotmail.edu"", 'artist', 'male', ""nulla magna, malesuada"", ""vel,"", ""2021-05-15""),"
Rylee Harris,in@google.ca,'artist','male',"facilisis vitae, orci. Phasellus",magna.,10/16/2021,1357-8474,"(""Rylee Harris"", ""in@google.ca"", 'artist', 'male', ""facilisis vitae, orci. Phasellus"", ""magna."", ""2021-10-16""),"
Rose Pearson,augue.id@icloud.net,'customer','female',nascetur ridiculus mus. Donec dignissim,sit,1/22/2022,V4K 2B0,"(""Rose Pearson"", ""augue.id@icloud.net"", 'customer', 'female', ""nascetur ridiculus mus. Donec dignissim"", ""sit"", ""2022-01-22""),"
Ocean Jacobson,pellentesque.a@google.com,'customer','female',"Sed congue, elit",arcu.,10/1/2021,328928,"(""Ocean Jacobson"", ""pellentesque.a@google.com"", 'customer', 'female', ""Sed congue, elit"", ""arcu."", ""2021-10-01""),"
Abel Spencer,donec.luctus@google.net,'artist','male',Mauris magna. Duis dignissim,fringilla,11/19/2021,58005,"(""Abel Spencer"", ""donec.luctus@google.net"", 'artist', 'male', ""Mauris magna. Duis dignissim"", ""fringilla"", ""2021-11-19""),"
Garth Duran,eget.nisi.dictum@aol.edu,'artist','male',dignissim.,consequat,8/28/2022,5528,"(""Garth Duran"", ""eget.nisi.dictum@aol.edu"", 'artist', 'male', ""dignissim."", ""consequat"", ""2022-08-28""),"
Eaton Garrison,arcu@outlook.com,'customer','female',orci. Ut semper,elementum,9/13/2022,9245,"(""Eaton Garrison"", ""arcu@outlook.com"", 'customer', 'female', ""orci. Ut semper"", ""elementum"", ""2022-09-13""),"
Signe Fischer,arcu.sed@aol.net,'customer','female',"iaculis quis, pede.",scelerisque,9/21/2021,30263-51262,"(""Signe Fischer"", ""arcu.sed@aol.net"", 'customer', 'female', ""iaculis quis, pede."", ""scelerisque"", ""2021-09-21""),"
Lael Hendricks,posuere.enim@google.couk,'artist','male',Mauris vel,iaculis,7/18/2022,178227,"(""Lael Hendricks"", ""posuere.enim@google.couk"", 'artist', 'male', ""Mauris vel"", ""iaculis"", ""2022-07-18""),"
Carly Bird,fusce.diam@outlook.ca,'artist','male',Suspendisse eleifend.,commodo,1/31/2022,50807,"(""Carly Bird"", ""fusce.diam@outlook.ca"", 'artist', 'male', ""Suspendisse eleifend."", ""commodo"", ""2022-01-31""),"
Wynter Meadows,luctus@google.couk,'customer','female',"auctor vitae, aliquet","non,",1/22/2021,9947,"(""Wynter Meadows"", ""luctus@google.couk"", 'customer', 'female', ""auctor vitae, aliquet"", ""non,"", ""2021-01-22""),"
Hermione Lancaster,felis.ullamcorper@google.net,'customer','female',rutrum lorem,quis,12/21/2020,5369,"(""Hermione Lancaster"", ""felis.ullamcorper@google.net"", 'customer', 'female', ""rutrum lorem"", ""quis"", ""2020-12-21""),"
Hayes Moran,aliquam.adipiscing@aol.ca,'artist','male',tincidunt pede ac urna.,aliquet.,5/7/2022,68-69,"(""Hayes Moran"", ""aliquam.adipiscing@aol.ca"", 'artist', 'male', ""tincidunt pede ac urna."", ""aliquet."", ""2022-05-07""),"
Evelyn Raymond,odio@protonmail.org,'artist','male',ipsum. Suspendisse sagittis.,egestas,12/5/2022,803332,"(""Evelyn Raymond"", ""odio@protonmail.org"", 'artist', 'male', ""ipsum. Suspendisse sagittis."", ""egestas"", ""2022-12-05""),"
Craig Callahan,libero.dui@yahoo.edu,'customer','female',Nullam lobortis quam a,euismod,9/19/2022,563591,"(""Craig Callahan"", ""libero.dui@yahoo.edu"", 'customer', 'female', ""Nullam lobortis quam a"", ""euismod"", ""2022-09-19""),"
Ifeoma Lynn,etiam.bibendum@icloud.couk,'customer','female',vitae semper,eget,3/23/2021,234210,"(""Ifeoma Lynn"", ""etiam.bibendum@icloud.couk"", 'customer', 'female', ""vitae semper"", ""eget"", ""2021-03-23""),"
Ryan Meyers,duis@outlook.edu,'artist','male',molestie dapibus ligula.,aliquet,12/13/2021,1356,"(""Ryan Meyers"", ""duis@outlook.edu"", 'artist', 'male', ""molestie dapibus ligula."", ""aliquet"", ""2021-12-13""),"
Solomon Zamora,mus.proin.vel@yahoo.net,'artist','male',sem. Nulla,Phasellus,7/17/2022,68-306,"(""Solomon Zamora"", ""mus.proin.vel@yahoo.net"", 'artist', 'male', ""sem. Nulla"", ""Phasellus"", ""2022-07-17""),"
Thomas Wyatt,ultrices.mauris@aol.ca,'customer','female',"placerat eget, venenatis a,",vestibulum,3/5/2021,232131,"(""Thomas Wyatt"", ""ultrices.mauris@aol.ca"", 'customer', 'female', ""placerat eget, venenatis a,"", ""vestibulum"", ""2021-03-05""),"
Geraldine Neal,augue.malesuada@yahoo.com,'customer','female',blandit,magna.,7/28/2022,19837,"(""Geraldine Neal"", ""augue.malesuada@yahoo.com"", 'customer', 'female', ""blandit"", ""magna."", ""2022-07-28""),"
Micah Oneil,habitant.morbi.tristique@google.org,'artist','male',dolor dapibus gravida. Aliquam,lorem,8/23/2021,63634-172,"(""Micah Oneil"", ""habitant.morbi.tristique@google.org"", 'artist', 'male', ""dolor dapibus gravida. Aliquam"", ""lorem"", ""2021-08-23""),"
Nell Mathews,ante.maecenas@aol.org,'artist','male',interdum,tellus,8/6/2021,6367,"(""Nell Mathews"", ""ante.maecenas@aol.org"", 'artist', 'male', ""interdum"", ""tellus"", ""2021-08-06""),"
Quinn Hurley,neque@protonmail.ca,'customer','female',"orci, consectetuer",a,3/19/2022,854742,"(""Quinn Hurley"", ""neque@protonmail.ca"", 'customer', 'female', ""orci, consectetuer"", ""a"", ""2022-03-19""),"
Lucian Morrison,nulla.integer.urna@yahoo.com,'customer','female',"imperdiet non, vestibulum nec, euismod",Maecenas,8/10/2021,L5B 5T4,"(""Lucian Morrison"", ""nulla.integer.urna@yahoo.com"", 'customer', 'female', ""imperdiet non, vestibulum nec, euismod"", ""Maecenas"", ""2021-08-10""),"
Wilma Burke,etiam.imperdiet@protonmail.couk,'artist','male',"Etiam laoreet, libero et",vulputate,10/27/2021,86779-012,"(""Wilma Burke"", ""etiam.imperdiet@protonmail.couk"", 'artist', 'male', ""Etiam laoreet, libero et"", ""vulputate"", ""2021-10-27""),"
Gillian Vang,vitae.sodales.nisi@protonmail.com,'artist','male',leo. Cras vehicula aliquet,Mauris,10/21/2021,R1S 9M1,"(""Gillian Vang"", ""vitae.sodales.nisi@protonmail.com"", 'artist', 'male', ""leo. Cras vehicula aliquet"", ""Mauris"", ""2021-10-21""),"
Christian Myers,imperdiet.erat.nonummy@google.couk,'customer','female',magna. Praesent,fringilla,1/14/2022,196635,"(""Christian Myers"", ""imperdiet.erat.nonummy@google.couk"", 'customer', 'female', ""magna. Praesent"", ""fringilla"", ""2022-01-14""),"
Adele Conrad,tempor@google.org,'customer','female',laoreet lectus quis,Sed,1/7/2022,213415,"(""Adele Conrad"", ""tempor@google.org"", 'customer', 'female', ""laoreet lectus quis"", ""Sed"", ""2022-01-07""),"
Tate Callahan,imperdiet.ullamcorper.duis@hotmail.couk,'artist','male',"placerat, augue.",vel,6/26/2021,10224,"(""Tate Callahan"", ""imperdiet.ullamcorper.duis@hotmail.couk"", 'artist', 'male', ""placerat, augue."", ""vel"", ""2021-06-26""),"
Jarrod Reid,sem.egestas.blandit@icloud.couk,'artist','male',diam luctus lobortis. Class,lacus,7/4/2021,1354,"(""Jarrod Reid"", ""sem.egestas.blandit@icloud.couk"", 'artist', 'male', ""diam luctus lobortis. Class"", ""lacus"", ""2021-07-04""),"
Tanek Hawkins,fermentum.metus@aol.ca,'customer','female',pede nec ante blandit,pharetra,8/7/2021,153138,"(""Tanek Hawkins"", ""fermentum.metus@aol.ca"", 'customer', 'female', ""pede nec ante blandit"", ""pharetra"", ""2021-08-07""),"
Maia Snow,massa.non@aol.com,'customer','female',tellus. Aenean egestas hendrerit neque.,"non,",6/11/2021,310112,"(""Maia Snow"", ""massa.non@aol.com"", 'customer', 'female', ""tellus. Aenean egestas hendrerit neque."", ""non,"", ""2021-06-11""),"
Baxter Fuller,aliquam.arcu.aliquam@google.com,'artist','male',"augue,",a,5/30/2022,174685,"(""Baxter Fuller"", ""aliquam.arcu.aliquam@google.com"", 'artist', 'male', ""augue,"", ""a"", ""2022-05-30""),"
Alan Buckner,mauris@hotmail.com,'artist','male',"sem semper erat, in",tellus.,3/8/2021,298011,"(""Alan Buckner"", ""mauris@hotmail.com"", 'artist', 'male', ""sem semper erat, in"", ""tellus."", ""2021-03-08""),"
Xavier Leonard,elit@outlook.ca,'customer','female',"iaculis enim, sit amet",rhoncus.,1/31/2021,627243,"(""Xavier Leonard"", ""elit@outlook.ca"", 'customer', 'female', ""iaculis enim, sit amet"", ""rhoncus."", ""2021-01-31""),"
Wendy Sosa,sit.amet.orci@yahoo.couk,'customer','female',"felis, adipiscing fringilla, porttitor vulputate,","ut,",2/22/2021,36495852,"(""Wendy Sosa"", ""sit.amet.orci@yahoo.couk"", 'customer', 'female', ""felis, adipiscing fringilla, porttitor vulputate,"", ""ut,"", ""2021-02-22""),"
Whitney Pugh,vitae.erat@aol.com,'artist','male',tortor. Nunc commodo auctor,mauris,4/2/2021,14263,"(""Whitney Pugh"", ""vitae.erat@aol.com"", 'artist', 'male', ""tortor. Nunc commodo auctor"", ""mauris"", ""2021-04-02""),"
Richard Pena,eget@hotmail.edu,'artist','male',"fringilla ornare placerat, orci lacus",nascetur,8/4/2021,89392,"(""Richard Pena"", ""eget@hotmail.edu"", 'artist', 'male', ""fringilla ornare placerat, orci lacus"", ""nascetur"", ""2021-08-04""),"
Fallon Nichols,proin.mi.aliquam@google.org,'customer','female',tempor diam,dolor,6/19/2021,8419,"(""Fallon Nichols"", ""proin.mi.aliquam@google.org"", 'customer', 'female', ""tempor diam"", ""dolor"", ""2021-06-19""),"
Gil Duffy,eget.venenatis.a@yahoo.ca,'customer','female',Curae,eros,12/25/2021,16754,"(""Gil Duffy"", ""eget.venenatis.a@yahoo.ca"", 'customer', 'female', ""Curae"", ""eros"", ""2021-12-25""),"
Eugenia Sawyer,ligula.aliquam@hotmail.org,'artist','male',arcu. Vestibulum,sollicitudin,7/19/2021,52315,"(""Eugenia Sawyer"", ""ligula.aliquam@hotmail.org"", 'artist', 'male', ""arcu. Vestibulum"", ""sollicitudin"", ""2021-07-19""),"
Meghan Preston,velit.pellentesque@aol.edu,'artist','male',Nulla dignissim.,adipiscing,2/24/2022,48266,"(""Meghan Preston"", ""velit.pellentesque@aol.edu"", 'artist', 'male', ""Nulla dignissim."", ""adipiscing"", ""2022-02-24""),"
Patience Stone,mattis.ornare@hotmail.ca,'customer','female',tincidunt aliquam arcu.,"a,",1/21/2022,55-019,"(""Patience Stone"", ""mattis.ornare@hotmail.ca"", 'customer', 'female', ""tincidunt aliquam arcu."", ""a,"", ""2022-01-21""),"
Sopoline Price,gravida.sagittis@icloud.com,'customer','female',"ornare, facilisis eget, ipsum. Donec",augue,9/30/2022,948705,"(""Sopoline Price"", ""gravida.sagittis@icloud.com"", 'customer', 'female', ""ornare, facilisis eget, ipsum. Donec"", ""augue"", ""2022-09-30""),"
Alec Moss,nunc@outlook.org,'artist','male',eu eros. Nam consequat dolor,mattis,8/13/2021,47527,"(""Alec Moss"", ""nunc@outlook.org"", 'artist', 'male', ""eu eros. Nam consequat dolor"", ""mattis"", ""2021-08-13""),"
Mason Hall,dolor@protonmail.org,'artist','male',"nunc est, mollis",Integer,6/13/2021,6915,"(""Mason Hall"", ""dolor@protonmail.org"", 'artist', 'male', ""nunc est, mollis"", ""Integer"", ""2021-06-13""),"
Amir Merrill,neque.in@aol.ca,'customer','female',libero. Donec,eu,5/22/2021,8671,"(""Amir Merrill"", ""neque.in@aol.ca"", 'customer', 'female', ""libero. Donec"", ""eu"", ""2021-05-22""),"
Macey Clarke,risus@outlook.edu,'customer','female',enim nec tempus,quam.,7/12/2021,J4E 1K8,"(""Macey Clarke"", ""risus@outlook.edu"", 'customer', 'female', ""enim nec tempus"", ""quam."", ""2021-07-12""),"
Ayanna Castro,eu.accumsan.sed@icloud.org,'artist','male',"ante lectus convallis est,","quis,",5/13/2022,878623,"(""Ayanna Castro"", ""eu.accumsan.sed@icloud.org"", 'artist', 'male', ""ante lectus convallis est,"", ""quis,"", ""2022-05-13""),"
Bruce Lyons,scelerisque@aol.ca,'artist','male',et netus et malesuada fames,Aliquam,2/1/2021,432553,"(""Bruce Lyons"", ""scelerisque@aol.ca"", 'artist', 'male', ""et netus et malesuada fames"", ""Aliquam"", ""2021-02-01""),"
Cassandra Woodward,ad.litora@yahoo.couk,'customer','female',"amet, consectetuer",aliquam,5/18/2021,622135,"(""Cassandra Woodward"", ""ad.litora@yahoo.couk"", 'customer', 'female', ""amet, consectetuer"", ""aliquam"", ""2021-05-18""),"
Galena Morris,mauris.aliquam@outlook.edu,'customer','female',semper rutrum. Fusce,purus.,10/11/2021,37658,"(""Galena Morris"", ""mauris.aliquam@outlook.edu"", 'customer', 'female', ""semper rutrum. Fusce"", ""purus."", ""2021-10-11""),"
Britanni Sandoval,at.velit@icloud.org,'artist','male',nisl.,"at,",5/21/2021,31266,"(""Britanni Sandoval"", ""at.velit@icloud.org"", 'artist', 'male', ""nisl."", ""at,"", ""2021-05-21""),"
Amelia Harper,vestibulum@google.ca,'artist','male',interdum enim,enim.,5/7/2021,4750-5043,"(""Amelia Harper"", ""vestibulum@google.ca"", 'artist', 'male', ""interdum enim"", ""enim."", ""2021-05-07""),"
Neville Kane,bibendum.donec.felis@aol.ca,'customer','female',semper tellus id nunc interdum,per,1/28/2022,47631,"(""Neville Kane"", ""bibendum.donec.felis@aol.ca"", 'customer', 'female', ""semper tellus id nunc interdum"", ""per"", ""2022-01-28""),"
